Timestamp,Target_ID,Distance,T_PosX,T_PosY,T_PosZ,T_VelX,T_VelY,T_VelZ,T_AccX,T_AccY,T_AccZ,Pred_PosX,Pred_PosY,Pred_PosZ,Best_Time,Drag_K,Bullet_Speed,Bullet_Mass,Bullet_CD,Bullet_Caliber,My_PosX,My_PosY,My_PosZ,My_VelX,My_VelY,My_VelZ
1773538358.02580,1644334528,8184.61970,9767.13281,2005.63562,1323.09509,121.85390,-0.80996,-84.63510,0.16402,0.00908,-0.11535,10828.36913,1998.84633,585.96329,8.68593,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538358.03725,1644334528,8184.61970,9767.13281,2005.63562,1323.09509,121.85390,-0.80996,-84.63510,0.16402,0.00908,-0.11535,10828.24670,1998.84075,586.04922,8.68576,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538358.04916,1644334528,8187.54237,9770.01367,2005.61646,1321.09412,121.85390,-0.80996,-84.63510,0.16402,0.00908,-0.11535,10831.75370,1998.82072,583.61289,8.69049,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538358.06124,1644334528,8187.54237,9770.01367,2005.61646,1321.09412,121.85390,-0.80996,-84.63510,0.16402,0.00908,-0.11535,10831.63662,1998.81538,583.69507,8.69033,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538358.07309,1644334528,8190.44265,9772.87207,2005.59717,1319.10864,121.85390,-0.80996,-84.63510,0.16402,0.00908,-0.11535,10835.11880,1998.79534,581.27587,8.69503,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538358.08548,1644334528,8190.44265,9772.87207,2005.59717,1319.10864,121.85390,-0.80996,-84.63510,0.16402,0.00908,-0.11535,10835.00637,1998.79022,581.35478,8.69487,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538358.09674,1644334528,8193.36698,9775.75391,2005.57703,1317.10767,121.85390,-0.80996,-84.63510,0.16402,0.00908,-0.11535,10838.51840,1998.76937,578.91561,8.69961,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538358.10880,1644334528,8193.36698,9775.75391,2005.57703,1317.10767,121.85390,-0.80996,-84.63510,0.16402,0.00908,-0.11535,10838.41006,1998.76443,578.99165,8.69947,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538358.12102,1644334528,8196.31562,9778.65918,2005.55676,1315.08936,121.85390,-0.80996,-84.63510,0.16402,0.00908,-0.11535,10841.95181,1998.74349,576.53077,8.70425,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538358.13319,1644334528,8196.31562,9778.65918,2005.55676,1315.08936,121.85390,-0.80996,-84.63510,0.16402,0.00908,-0.11535,10842.01375,1998.74631,576.48729,8.70433,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
