frame_id,timestamp,dt_ms,my_x,my_y,my_z,my_raw_kmh,my_pos_kmh,my_vel_296_kmh,my_delta_296_kmh,my_src_296,my_vel_zj_kmh,my_delta_zj_kmh,tg_ptr,tg_raw_kmh,tg_pos_kmh,tg_vel_296_kmh,tg_vel_zj_kmh
1,1788706263.2522,0.00,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
2,1788706263.2688,16.67,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
3,1788706263.2855,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
4,1788706263.3022,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
5,1788706263.3188,16.66,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
6,1788706263.3355,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
7,1788706263.3521,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
8,1788706263.3688,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
9,1788706263.3855,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
10,1788706263.4021,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
11,1788706263.4188,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
12,1788706263.4355,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
13,1788706263.4521,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
14,1788706263.4688,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
15,1788706263.4854,16.66,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
16,1788706263.5021,16.71,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
17,1788706263.5189,16.71,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
18,1788706263.5355,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
19,1788706263.5522,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
20,1788706263.5688,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
21,1788706263.5855,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
22,1788706263.6022,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
23,1788706263.6188,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
24,1788706263.6355,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
25,1788706263.6522,16.67,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
26,1788706263.6688,16.66,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
27,1788706263.6855,16.67,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
28,1788706263.7021,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
29,1788706263.7188,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
30,1788706263.7355,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
31,1788706263.7521,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
32,1788706263.7688,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
33,1788706263.7855,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
34,1788706263.8021,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
35,1788706263.8188,16.66,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
36,1788706263.8355,16.66,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
37,1788706263.8521,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
38,1788706263.8688,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
39,1788706263.8854,16.67,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
40,1788706263.9021,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
41,1788706263.9188,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
42,1788706263.9354,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
43,1788706263.9521,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
44,1788706263.9688,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
45,1788706263.9854,16.66,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
46,1788706264.0021,16.66,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
47,1788706264.0187,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
48,1788706264.0354,16.67,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
49,1788706264.0521,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
50,1788706264.0687,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
51,1788706264.0854,16.67,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
52,1788706264.1021,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
53,1788706264.1187,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
54,1788706264.1354,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
55,1788706264.1521,16.67,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
56,1788706264.1687,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
57,1788706264.1854,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
58,1788706264.2021,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
59,1788706264.2187,16.67,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
60,1788706264.2354,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
61,1788706264.2520,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
62,1788706264.2687,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
63,1788706264.2854,16.67,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
64,1788706264.3020,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
65,1788706264.3187,16.66,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
66,1788706264.3354,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
67,1788706264.3520,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
68,1788706264.3687,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
69,1788706264.3854,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
70,1788706264.4020,16.66,1842.517,217.153,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
71,1788706264.4187,16.67,1842.517,217.153,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
72,1788706264.4354,16.66,1842.517,217.153,2029.123,0.0,0.1,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
73,1788706264.4520,16.67,1842.518,217.153,2029.124,0.0,0.1,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
74,1788706264.4687,16.66,1842.518,217.153,2029.125,0.0,0.1,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
75,1788706264.4853,16.66,1842.519,217.153,2029.128,0.0,0.2,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
76,1788706264.5020,16.66,1842.520,217.153,2029.130,0.0,0.3,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
77,1788706264.5187,16.66,1842.521,217.153,2029.133,0.0,0.3,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
78,1788706264.5353,16.66,1842.522,217.153,2029.135,0.0,0.4,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
79,1788706264.5520,16.66,1842.522,217.153,2029.135,0.0,0.3,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
80,1788706264.5687,16.67,1842.524,217.153,2029.138,0.0,0.4,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
81,1788706264.5853,16.67,1842.526,217.153,2029.142,0.0,0.5,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
82,1788706264.6020,16.66,1842.528,217.153,2029.148,0.0,0.6,0.0,0.00,ground_idle,0.0,0.00,0x6ea869b0,0.0,0.0,0.0,0.0
83,1788706264.6187,16.66,1842.532,217.154,2029.158,0.0,0.9,0.0,0.00,ground_idle,0.3,0.34,0x6ea869b0,0.0,0.0,0.0,0.0
84,1788706264.6353,16.66,1842.535,217.154,2029.164,0.0,1.0,0.0,0.00,ground_idle,0.6,0.28,0x6ea869b0,0.0,0.0,0.0,0.0
85,1788706264.6520,16.66,1842.540,217.154,2029.178,0.0,1.4,0.2,0.21,pos_only_smoothed,0.9,0.23,0x6ea869b0,0.0,0.0,0.0,0.0
86,1788706264.6686,16.66,1842.543,217.153,2029.184,0.0,1.4,0.4,0.18,pos_only_smoothed,1.0,0.20,0x6ea869b0,0.0,0.0,0.0,0.0
87,1788706264.6853,16.67,1842.550,217.153,2029.200,0.0,1.9,0.6,0.21,pos_only_smoothed,1.2,0.17,0x6ea869b0,0.0,0.0,0.0,0.0
88,1788706264.7020,16.66,1842.553,217.153,2029.208,0.0,1.8,0.8,0.18,pos_only_smoothed,1.4,0.15,0x6ea869b0,0.0,0.0,0.0,0.0
89,1788706264.7186,16.66,1842.556,217.153,2029.216,0.0,1.9,0.9,0.15,pos_only_smoothed,1.5,0.13,0x6ea869b0,0.0,0.0,0.0,0.0
90,1788706264.7353,16.66,1842.564,217.153,2029.235,0.0,2.3,1.1,0.19,pos_only_smoothed,1.6,0.11,0x6ea869b0,0.0,0.0,0.0,0.0
91,1788706264.7520,16.66,1842.568,217.153,2029.244,0.0,2.3,1.3,0.16,pos_only_smoothed,1.7,0.12,0x6ea869b0,0.0,0.0,0.0,0.0
92,1788706264.7686,16.66,1842.577,217.153,2029.265,0.0,2.8,1.5,0.20,pos_only_smoothed,1.8,0.12,0x6ea869b0,0.0,0.0,0.0,0.0
93,1788706264.7853,16.66,1842.581,217.153,2029.275,0.0,2.7,1.6,0.16,pos_only_smoothed,2.0,0.12,0x6ea869b0,0.0,0.0,0.0,0.0
94,1788706264.8020,16.66,1842.586,217.152,2029.286,0.0,2.7,1.8,0.13,pos_only_smoothed,2.1,0.11,0x6ea869b0,0.0,0.0,0.0,0.0
95,1788706264.8186,16.66,1842.595,217.152,2029.309,0.0,3.2,2.0,0.19,pos_only_smoothed,2.2,0.11,0x6ea869b0,0.0,0.0,0.0,0.0
96,1788706264.8353,16.66,1842.600,217.152,2029.321,0.0,3.1,2.1,0.16,pos_only_smoothed,2.3,0.13,0x6ea869b0,0.0,0.0,0.0,0.0
97,1788706264.8519,16.66,1842.611,217.152,2029.347,0.0,3.6,2.4,0.23,pos_only_smoothed,2.5,0.15,0x6ea869b0,0.0,0.0,0.0,0.0
98,1788706264.8686,16.66,1842.616,217.152,2029.359,0.0,3.5,2.5,0.17,pos_only_smoothed,2.6,0.16,0x6ea869b0,0.0,0.0,0.0,0.0
99,1788706264.8853,16.66,1842.628,217.153,2029.387,0.0,4.0,2.8,0.24,pos_only_smoothed,2.8,0.17,0x6ea869b0,0.0,0.0,0.0,0.0
100,1788706264.9019,16.66,1842.634,217.153,2029.401,0.0,3.9,2.9,0.18,pos_only_smoothed,3.0,0.18,0x6ea869b0,0.0,0.0,0.0,0.0
101,1788706264.9186,16.66,1842.640,217.153,2029.415,0.0,3.8,3.1,0.13,pos_only_smoothed,3.1,0.15,0x6ea869b0,0.0,0.0,0.0,0.0
102,1788706264.9353,16.66,1842.652,217.153,2029.446,0.0,4.4,3.3,0.21,pos_only_smoothed,3.3,0.14,0x6ea869b0,0.0,0.0,0.0,0.0
103,1788706264.9519,16.66,1842.659,217.153,2029.461,0.0,4.3,3.4,0.15,pos_only_smoothed,3.4,0.15,0x6ea869b0,0.0,0.0,0.0,0.0
104,1788706264.9686,16.66,1842.672,217.154,2029.493,0.0,4.8,3.7,0.22,pos_only_smoothed,3.6,0.16,0x6ea869b0,0.0,0.0,0.0,0.0
105,1788706264.9853,16.66,1842.679,217.154,2029.510,0.0,4.7,3.8,0.16,pos_only_smoothed,3.8,0.17,0x6ea869b0,0.0,0.0,0.0,0.0
106,1788706265.0019,16.66,1842.686,217.154,2029.527,0.0,4.5,3.9,0.12,pos_only_smoothed,3.9,0.15,0x6ea869b0,0.0,0.0,0.0,0.0
