frame_id,timestamp,dt_ms,my_x,my_y,my_z,my_raw_vx,my_raw_vy,my_raw_vz,my_raw_kmh,my_pos_vx,my_pos_vy,my_pos_vz,my_pos_kmh,my_chosen_vx,my_chosen_vy,my_chosen_vz,my_chosen_kmh,my_source,my_is_staircase,my_speed_delta_kmh,tg_ptr,tg_raw_kmh,tg_pos_kmh,tg_chosen_kmh,tg_source
1,1788706263.2522,0.00,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
2,1788706263.2688,16.67,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
3,1788706263.2855,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
4,1788706263.3022,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
5,1788706263.3188,16.66,1842.517,217.152,2029.122,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
6,1788706263.3355,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
7,1788706263.3521,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
8,1788706263.3688,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
9,1788706263.3855,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
10,1788706263.4021,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
