frame_id,timestamp,dt_ms,my_x,my_y,my_z,raw_kmh,pos_delta_kmh,v296_kmh,v296_delta_kmh,v296_source,latest_kmh,latest_delta_kmh,latest_source,diff_kmh
1,1788706263.2522,0.00,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
2,1788706263.2688,16.67,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
3,1788706263.2855,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
4,1788706263.3022,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
5,1788706263.3188,16.66,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
6,1788706263.3355,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
7,1788706263.3521,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
8,1788706263.3688,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
9,1788706263.3855,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
10,1788706263.4021,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
11,1788706263.4188,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
12,1788706263.4355,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
13,1788706263.4521,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
14,1788706263.4688,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
15,1788706263.4854,16.66,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
16,1788706263.5021,16.71,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
17,1788706263.5189,16.71,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
18,1788706263.5355,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
19,1788706263.5522,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
20,1788706263.5688,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
21,1788706263.5855,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
22,1788706263.6022,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
23,1788706263.6188,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
24,1788706263.6355,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
25,1788706263.6522,16.67,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
26,1788706263.6688,16.66,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
27,1788706263.6855,16.67,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
28,1788706263.7021,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
29,1788706263.7188,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
30,1788706263.7355,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
31,1788706263.7521,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
32,1788706263.7688,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
33,1788706263.7855,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
34,1788706263.8021,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
35,1788706263.8188,16.66,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
36,1788706263.8355,16.66,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
37,1788706263.8521,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
38,1788706263.8688,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
39,1788706263.8854,16.67,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
40,1788706263.9021,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
41,1788706263.9188,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
42,1788706263.9354,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
43,1788706263.9521,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
44,1788706263.9688,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
45,1788706263.9854,16.66,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
46,1788706264.0021,16.66,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
47,1788706264.0187,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
48,1788706264.0354,16.67,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
49,1788706264.0521,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
50,1788706264.0687,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
51,1788706264.0854,16.67,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
52,1788706264.1021,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
53,1788706264.1187,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
54,1788706264.1354,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
55,1788706264.1521,16.67,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
56,1788706264.1687,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
57,1788706264.1854,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
58,1788706264.2021,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
59,1788706264.2187,16.67,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
60,1788706264.2354,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
61,1788706264.2520,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
62,1788706264.2687,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
63,1788706264.2854,16.67,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
64,1788706264.3020,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
65,1788706264.3187,16.66,1842.517,217.152,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
66,1788706264.3354,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
67,1788706264.3520,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
68,1788706264.3687,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
69,1788706264.3854,16.66,1842.517,217.152,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
70,1788706264.4020,16.66,1842.517,217.153,2029.121,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
71,1788706264.4187,16.67,1842.517,217.153,2029.122,0.0,0.0,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
72,1788706264.4354,16.66,1842.517,217.153,2029.123,0.0,0.1,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
73,1788706264.4520,16.67,1842.518,217.153,2029.124,0.0,0.1,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
74,1788706264.4687,16.66,1842.518,217.153,2029.125,0.0,0.1,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
75,1788706264.4853,16.66,1842.519,217.153,2029.128,0.0,0.2,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
76,1788706264.5020,16.66,1842.520,217.153,2029.130,0.0,0.3,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
77,1788706264.5187,16.66,1842.521,217.153,2029.133,0.0,0.3,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
78,1788706264.5353,16.66,1842.522,217.153,2029.135,0.0,0.4,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
79,1788706264.5520,16.66,1842.522,217.153,2029.135,0.0,0.3,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
80,1788706264.5687,16.67,1842.524,217.153,2029.138,0.0,0.4,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
